"taskOrder"	"JobNo"	"EmpNo"	"TransDate"	"Hours"
"322"	"Bravo"	"Bravo RFS 001"	"592855"	"2018-08"	184
"323"	"Bravo"	"Bravo RFS 001"	"592855"	"2018-09"	152
"324"	"Bravo"	"Bravo RFS 001"	"592855"	"2018-10"	144
"325"	"Bravo"	"Bravo RFS 001"	"592855"	"2018-11"	160
"326"	"Bravo"	"Bravo RFS 001"	"592855"	"2018-12"	128
"327"	"Bravo"	"Bravo RFS 001"	"592855"	"2019-01"	8
"328"	"Bravo"	"Bravo RFS 001"	"593942"	"2018-06"	92
"329"	"Bravo"	"Bravo RFS 001"	"593942"	"2018-07"	126
"330"	"Bravo"	"Bravo RFS 001"	"593942"	"2018-08"	126
"331"	"Bravo"	"Bravo RFS 001"	"594822"	"2018-03"	2.5
"332"	"Bravo"	"Bravo RFS 001"	"594822"	"2018-04"	8
"333"	"Bravo"	"Bravo RFS 001"	"594822"	"2018-05"	5
"334"	"Bravo"	"Bravo RFS 001"	"594822"	"2018-06"	20.5
"335"	"Bravo"	"Bravo RFS 001"	"594822"	"2018-07"	20
"336"	"Bravo"	"Bravo RFS 001"	"594822"	"2018-08"	16
"337"	"Bravo"	"Bravo RFS 001"	"594822"	"2018-09"	3
"338"	"Bravo"	"Bravo RFS 001"	"594822"	"2018-10"	5
"339"	"Bravo"	"Bravo RFS 001"	"594822"	"2018-11"	1.5
"340"	"Bravo"	"Bravo RFS 001"	"594822"	"2018-12"	2.5
"341"	"Bravo"	"Bravo RFS 001"	"595900"	"2018-03"	31.75
"342"	"Bravo"	"Bravo RFS 001"	"595900"	"2018-04"	5.5
"343"	"Bravo"	"Bravo RFS 001"	"595900"	"2018-05"	8
"344"	"Bravo"	"Bravo RFS 001"	"595900"	"2018-06"	13
"345"	"Bravo"	"Bravo RFS 001"	"595900"	"2018-07"	13
"346"	"Bravo"	"Bravo RFS 001"	"595900"	"2018-08"	6
"347"	"Bravo"	"Bravo RFS 001"	"595900"	"2018-09"	16
"348"	"Bravo"	"Bravo RFS 001"	"595900"	"2018-10"	16
"349"	"Bravo"	"Bravo RFS 001"	"595900"	"2018-11"	7
"350"	"Bravo"	"Bravo RFS 001"	"595900"	"2018-12"	6
"351"	"Bravo"	"Bravo RFS 001"	"596696"	"2018-03"	110
"352"	"Bravo"	"Bravo RFS 001"	"596696"	"2018-04"	160
"353"	"Bravo"	"Bravo RFS 001"	"596696"	"2018-05"	114
"354"	"Bravo"	"Bravo RFS 001"	"596696"	"2018-06"	109
"355"	"Bravo"	"Bravo RFS 001"	"596696"	"2018-07"	109
"356"	"Bravo"	"Bravo RFS 001"	"596696"	"2018-08"	120
"357"	"Bravo"	"Bravo RFS 001"	"596696"	"2018-09"	41
"358"	"Bravo"	"Bravo RFS 001"	"596696"	"2018-10"	40
"359"	"Bravo"	"Bravo RFS 001"	"596696"	"2018-11"	40
"360"	"Bravo"	"Bravo RFS 001"	"596696"	"2018-12"	29
"361"	"Bravo"	"Bravo RFS 001"	"596696"	"2019-01"	2
"362"	"Bravo"	"Bravo RFS 001"	"596726"	"2018-03"	108
"363"	"Bravo"	"Bravo RFS 001"	"596726"	"2018-04"	161.5
"364"	"Bravo"	"Bravo RFS 001"	"596726"	"2018-05"	169
"365"	"Bravo"	"Bravo RFS 001"	"596726"	"2018-06"	162
